subjectR,conditionR,stimStyle,frequency,channelR,runR,fftValue
S1,hybrid-12Hz,hybrid,12,FC1,8,0.649805379324174
S1,hybrid-12Hz,hybrid,12,FC1,9,0.421504946279303
S1,hybrid-12Hz,hybrid,12,FC1,10,1.03469875323742
S1,hybrid-12Hz,hybrid,12,FC1,11,0.350667392334851
S1,hybrid-12Hz,hybrid,12,FC1,12,1.08884593121213
S1,hybrid-12Hz,hybrid,12,FC1,13,0.813408239809884
S1,hybrid-12Hz,hybrid,12,FC1,14,0.970496033848739
S1,hybrid-12Hz,hybrid,12,FC1,15,0.837152877767227
S1,hybrid-12Hz,hybrid,12,FC1,16,0.993025962532049
S1,hybrid-12Hz,hybrid,12,FC1,17,0.562287310197685
S1,hybrid-12Hz,hybrid,12,FC1,18,1.34901206441384
S1,hybrid-12Hz,hybrid,12,FC1,19,0.693543169380267
S1,hybrid-12Hz,hybrid,12,FC1,20,0.806962782647191
S1,hybrid-12Hz,hybrid,12,FC1,21,0.790777528321968
S1,hybrid-12Hz,hybrid,12,FC1,22,0.556242514557776
S1,hybrid-12Hz,hybrid,12,FC1,23,1.48295918526039
S1,hybrid-12Hz,hybrid,12,FC1,24,0.574651420784117
S1,hybrid-12Hz,hybrid,12,FC1,25,0.761514682348178
S1,hybrid-12Hz,hybrid,12,FC1,26,1.3426963058976
S1,hybrid-12Hz,hybrid,12,FC1,27,0.353719335173766
S1,hybrid-12Hz,hybrid,12,FC1,28,0.521060269147068
S1,hybrid-12Hz,hybrid,12,FC1,29,0.912542328124625
S1,hybrid-12Hz,hybrid,12,FC1,30,1.2081068718069
S1,hybrid-12Hz,hybrid,12,FC1,31,0.342152304978149
S1,hybrid-12Hz,hybrid,12,FC1,32,0.190079894897815
S1,hybrid-12Hz,hybrid,12,FC1,33,0.744981026599401
S1,hybrid-12Hz,hybrid,12,FC1,34,0.867389104106832
S1,hybrid-12Hz,hybrid,12,FC1,35,0.958468491650093
S1,hybrid-12Hz,hybrid,12,FC1,36,0.303819312274035
S1,hybrid-12Hz,hybrid,12,FC2,1,0.629525406003811
S1,hybrid-12Hz,hybrid,12,FC2,2,0.598298547135891
S1,hybrid-12Hz,hybrid,12,FC2,3,1.49755172597657
S1,hybrid-12Hz,hybrid,12,FC2,4,0.406417158129244
S1,hybrid-12Hz,hybrid,12,FC2,5,1.0381529134251
S1,hybrid-12Hz,hybrid,12,FC2,6,0.057947229012239
